ZSPR,0_2,3_5,6_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_999,year
800,12,15,22,33,30,30,36,36,34,33,41,44,42,28,29,48,25,16,15,2015
801,32,30,55,75,68,63,68,53,62,101,115,97,75,44,48,51,31,19,21,2015
802,21,15,21,26,21,28,37,45,45,39,44,55,32,44,71,61,47,26,18,2015
0,5,5,3,7,14,32,33,23,25,22,22,27,24,19,14,14,12,12,1,2014
1,18,14,17,16,39,197,152,79,55,41,45,43,41,34,26,30,27,13,16,2014
10,3,4,5,3,7,46,44,37,19,25,24,23,24,18,15,25,7,8,7,2014
11,19,10,14,34,48,136,127,88,59,58,72,61,34,47,34,18,14,7,5,2014
12,27,16,25,21,39,139,120,84,79,68,66,74,42,49,53,53,32,12,19,2014
13,6,9,11,11,17,53,37,31,26,31,29,25,22,32,21,27,18,29,81,2014
14,9,12,12,7,25,72,41,49,29,36,23,35,25,27,18,21,4,6,3,2014
15,12,9,15,15,14,27,35,31,24,42,32,14,13,18,20,13,13,4,9,2014
20,7,7,6,5,15,86,50,34,52,26,28,25,13,12,10,9,4,10,8,2014
21,19,11,8,15,30,199,142,93,34,48,50,48,51,34,35,42,28,25,65,2014
30,16,13,19,22,44,150,143,88,47,55,53,48,47,32,28,29,28,13,18,2014
31,10,4,9,15,26,143,105,68,30,20,24,19,10,18,4,8,2,4,3,2014
32,13,5,18,11,18,101,87,52,43,34,40,30,28,30,25,36,20,20,46,2014
33,0,4,1,0,15,79,38,8,4,2,4,2,3,1,4,5,2,2,0,2014
40,3,2,6,10,13,72,68,24,12,26,21,16,12,14,12,21,6,1,8,2014
41,26,13,15,6,40,228,180,106,61,47,42,42,45,38,31,23,13,11,13,2014
50,19,12,6,7,12,23,39,18,23,18,17,22,24,11,12,7,6,4,5,2014
51,27,14,20,28,48,156,116,86,70,68,62,54,45,48,47,27,18,8,5,2014
52,13,10,12,15,26,70,71,60,38,39,33,27,37,31,25,28,14,7,3,2014
53,5,6,19,12,42,82,84,46,39,43,59,44,23,7,16,41,21,13,7,2014
60,14,20,18,15,18,63,70,42,30,46,46,42,41,30,42,34,20,14,16,2014
61,20,10,15,13,16,81,65,54,41,37,26,30,30,22,24,26,15,10,9,2014
70,14,23,18,32,34,66,57,54,48,51,71,47,40,33,31,38,25,15,24,2014
71,18,24,28,35,30,56,46,40,54,57,59,57,33,31,29,38,36,18,17,2014
72,28,31,36,56,57,97,96,87,96,78,119,90,71,60,77,55,33,27,29,2014
73,14,10,13,13,29,44,51,40,29,41,39,38,51,33,28,31,20,13,14,2014
74,14,15,19,36,41,68,72,59,49,55,76,70,46,48,39,35,11,22,27,2014
75,7,8,14,14,27,26,32,13,25,38,33,43,36,26,37,46,68,76,213,2014
80,26,24,44,62,76,73,53,60,60,77,131,129,104,88,58,81,32,24,13,2014
81,13,12,10,22,24,15,26,17,22,32,34,34,25,18,25,23,15,7,14,2014
100,22,16,11,10,46,152,124,81,49,30,41,34,52,34,25,22,16,7,18,2014
101,3,7,10,3,18,92,110,62,46,52,46,41,33,27,25,18,8,2,15,2014
102,27,12,13,22,34,162,136,104,75,53,66,53,54,40,36,39,21,7,18,2014
103,1,10,11,8,19,35,30,28,36,31,20,16,4,7,7,5,4,4,1,2014
104,16,13,18,21,26,114,95,66,50,37,52,30,35,38,28,34,11,8,11,2014
105,5,6,6,12,10,46,53,18,27,13,20,20,14,14,15,21,13,20,61,2014
106,9,6,5,9,16,56,60,43,45,33,26,23,22,20,9,21,7,5,7,2014
107,10,8,9,9,13,45,62,32,26,22,19,22,15,14,12,20,11,7,11,2014
110,8,8,10,13,15,70,81,49,25,40,36,28,21,17,33,16,7,11,14,2014
