ZSPR,0_2,3_5,6_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_999
119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,1,3,2,4,3,26,16,11,11,6,14,12,7,6,13,23,25,8,9
121,1,3,3,5,5,6,14,7,8,8,2,5,7,5,3,2,2,1,0
122,4,7,10,10,14,33,45,30,18,23,24,25,21,16,10,10,10,11,3
123,1,0,0,1,2,4,1,3,3,3,1,0,0,1,0,0,0,0,0
124,0,4,1,2,2,5,5,3,4,4,2,3,3,2,2,2,11,2,0
130,13,10,5,12,15,132,164,73,53,32,22,25,24,21,17,7,5,7,19
131,29,21,28,39,48,287,202,122,84,67,75,65,62,49,47,48,37,19,43
132,18,15,13,22,27,75,78,63,50,51,31,38,22,24,19,19,36,23,37
133,11,10,15,30,42,38,42,36,45,48,55,73,88,55,54,46,36,19,17
134,1,3,0,3,3,16,9,3,2,2,4,4,1,3,2,2,0,0,0
140,32,25,39,37,60,73,76,81,76,65,92,96,89,40,37,53,54,28,32
150,26,19,28,37,32,62,62,58,49,68,58,62,30,31,25,25,22,14,17
151,1,1,1,5,37,87,110,77,56,28,22,23,17,3,2,8,6,0,0
152,8,5,11,30,15,3,30,26,18,33,23,32,31,12,22,14,12,7,4
